Cycle; TotalWork; QueueSize; WIP; TotalTeams; BusyTeams;
1763;10000;8317;2;10;2;
1764;10000;8316;2;10;2;
1765;10000;8315;2;10;2;
1766;10000;8314;2;10;2;
1767;10000;8313;2;10;2;
1768;10000;8312;2;10;2;
1769;10000;8311;2;10;2;
1770;10000;8310;1;10;1;
1771;10000;8309;1;10;1;
1772;10000;8308;1;10;1;
1773;10000;8307;2;10;2;
1774;10000;8306;1;10;1;
1775;10000;8305;2;10;2;
1776;10000;8305;1;10;1;
1777;10000;8304;1;10;1;
1778;10000;8303;2;10;2;
1779;10000;8302;2;10;2;
1780;10000;8301;1;10;1;
1781;10000;8300;1;10;1;
1782;10000;8299;1;10;1;
1783;10000;8298;2;10;2;
1784;10000;8297;2;10;2;
1785;10000;8296;2;10;2;
1786;10000;8295;2;10;2;
1787;10000;8294;1;10;1;
1788;10000;8293;1;10;1;
1789;10000;8292;2;10;2;
1790;10000;8291;2;10;2;
1791;10000;8290;1;10;1;
1792;10000;8289;2;10;2;
1793;10000;8288;1;10;1;
1794;10000;8287;1;10;1;
1795;10000;8286;1;10;1;
1796;10000;8285;2;10;2;
1797;10000;8284;1;10;1;
1798;10000;8283;1;10;1;
1799;10000;8282;2;10;2;
1800;10000;8281;1;10;1;
1801;10000;8280;1;10;1;
1802;10000;8279;1;10;1;
1803;10000;8278;1;10;1;
1804;10000;8277;1;10;1;
1805;10000;8276;1;10;1;
1806;10000;8275;2;10;2;
1807;10000;8274;1;10;1;
1808;10000;8273;2;10;2;
1809;10000;8272;1;10;1;
1810;10000;8271;1;10;1;
1811;10000;8270;1;10;1;
1812;10000;8269;1;10;1;
1813;10000;8268;2;10;2;
1814;10000;8267;1;10;1;
1815;10000;8266;1;10;1;
1816;10000;8265;1;10;1;
1817;10000;8264;2;10;2;
1818;10000;8263;1;10;1;
1819;10000;8262;2;10;2;
1820;10000;8261;1;10;1;
1821;10000;8260;2;10;2;
1822;10000;8260;1;10;1;
1823;10000;8259;1;10;1;
1824;10000;8258;1;10;1;
1825;10000;8257;1;10;1;
1826;10000;8257;1;10;1;
1827;10000;8256;1;10;1;
1828;10000;8255;1;10;1;
1829;10000;8254;2;10;2;
1830;10000;8253;2;10;2;
1831;10000;8252;2;10;2;
1832;10000;8251;1;10;1;
1833;10000;8250;2;10;2;
1834;10000;8249;1;10;1;
1835;10000;8248;1;10;1;
1836;10000;8247;2;10;2;
1837;10000;8246;1;10;1;
1838;10000;8245;2;10;2;
1839;10000;8245;1;10;1;
1840;10000;8244;1;10;1;
1841;10000;8243;1;10;1;
1842;10000;8242;1;10;1;
1843;10000;8241;2;10;2;
1844;10000;8240;1;10;1;
1845;10000;8239;1;10;1;
1846;10000;8238;1;10;1;
1847;10000;8237;1;10;1;
1848;10000;8236;2;10;2;
1849;10000;8235;2;10;2;
1850;10000;8234;2;10;2;
1851;10000;8233;1;10;1;
1852;10000;8232;2;10;2;
1853;10000;8231;2;10;2;
1854;10000;8230;2;10;2;
1855;10000;8229;2;10;2;
1856;10000;8228;1;10;1;
1857;10000;8228;1;10;1;
1858;10000;8227;1;10;1;
1859;10000;8226;2;10;2;
1860;10000;8225;2;10;2;
1861;10000;8224;1;10;1;
1862;10000;8223;1;10;1;
1863;10000;8222;1;10;1;
1864;10000;8221;1;10;1;
1865;10000;8220;2;10;2;
1866;10000;8220;1;10;1;
1867;10000;8219;1;10;1;
1868;10000;8218;1;10;1;
1869;10000;8217;2;10;2;
1870;10000;8216;2;10;2;
1871;10000;8215;2;10;2;
1872;10000;8214;2;10;2;
1873;10000;8213;1;10;1;
1874;10000;8212;2;10;2;
1875;10000;8211;2;10;2;
1876;10000;8210;1;10;1;
1877;10000;8209;2;10;2;
1878;10000;8208;2;10;2;
1879;10000;8207;1;10;1;
1880;10000;8206;1;10;1;
1881;10000;8205;2;10;2;
1882;10000;8204;1;10;1;
1883;10000;8203;2;10;2;
1884;10000;8202;1;10;1;
1885;10000;8201;2;10;2;
1886;10000;8200;2;10;2;
1887;10000;8199;1;10;1;
1888;10000;8198;2;10;2;
1889;10000;8197;1;10;1;
